gyro_xout_scaled,gyro_yout_scaled,gyro_zout_scaled,accel_xout_scaled,accel_yout_scaled,accel_zout_scaled,x_rotation,y_rotation,measured_timestamp
-5.0,-1.0,-2.0,-0.10693359375,-0.765869140625,1.048095703125,-36.0153023553642,4.70922668766457,1488055483.78069
-5.0,-1.0,-2.0,-0.10009765625,-0.765380859375,1.0517578125,-35.9211651051447,4.40038825149476,1488055483.83395
-5.0,-1.0,-2.0,-0.098876953125,-0.76513671875,1.056884765625,-35.7843326232547,4.3336373605043,1488055483.88471
-5.0,-1.0,-2.0,-0.09423828125,-0.76220703125,1.033447265625,-36.296945487169,4.19725540691687,1488055484.05002
-5.0,-1.0,-2.0,-0.093017578125,-0.763671875,1.037353515625,-36.2500392581319,4.13021277353316,1488055484.09647
-5.0,-1.0,-2.0,-0.09228515625,-0.765380859375,1.06005859375,-35.7273482677045,4.03734831524766,1488055484.14093
-5.0,-1.0,-2.0,-0.109130859375,-0.763427734375,1.043212890625,-36.0483537987494,4.82545766224797,1488055484.19043
-5.0,-1.0,-2.0,-0.090087890625,-0.767822265625,1.0546875,-35.9559270513592,3.95030824127168,1488055484.23942
-5.0,-1.0,-2.0,-0.093017578125,-0.777587890625,1.06201171875,-36.1066951577481,4.04229637905221,1488055484.28733
-5.0,-1.0,-2.0,-0.096435546875,-0.769287109375,1.03564453125,-36.4870165742857,4.27492906976927,1488055484.33061
-5.0,-1.0,-2.0,-0.0830078125,-0.76171875,1.047119140625,-35.9483958046645,3.66795026621244,1488055484.38198
-5.0,-1.0,-2.0,-0.09521484375,-0.76513671875,1.057373046875,-35.7804551135276,4.17244989907733,1488055484.43202
-5.0,1.0,-2.0,-0.091064453125,-0.7607421875,1.05224609375,-35.7643588829017,4.01179338904808,1488055484.48087
-5.0,-1.0,-2.0,-0.09765625,-0.767333984375,1.048095703125,-36.0907252344318,4.29941654100908,1488055484.52855
-5.0,-1.0,-2.0,-0.10791015625,-0.765380859375,1.033447265625,-36.3755373237124,4.79650047105864,1488055484.57507
-5.0,-1.0,-2.0,-0.105224609375,-0.750244140625,1.05029296875,-35.4037224129387,4.6606393651037,1488055484.62169
-5.0,-1.0,-2.0,-0.095703125,-0.771728515625,1.04931640625,-36.2197331699479,4.20218846968596,1488055484.67232
-5.0,-1.0,-2.0,-0.10693359375,-0.75927734375,1.0419921875,-35.9372842904562,4.74128163299042,1488055484.72173
-5.0,-1.0,-2.0,-0.10693359375,-0.760986328125,1.0498046875,-35.7973409112658,4.71461944462594,1488055484.7723
-5.0,-1.0,-2.0,-0.10302734375,-0.768310546875,1.041015625,-36.2954698127264,4.55281596062774,1488055484.81944
-5.0,-1.0,-2.0,-0.097900390625,-0.766845703125,1.04541015625,-36.1421582678395,4.31825448872474,1488055484.86828
-5.0,-1.0,-2.0,-0.09033203125,-0.763916015625,1.054931640625,-35.8103608871846,3.96733804739947,1488055484.9186
